researcher_ID,researcher_firstname,researcher_lastname,birthday,gender,organization_abbreviation,organization_date_begining_relationship
68,Fanchon,McGarrell,1991/09/19,Female,RCOJXP,2021/05/30
54,Guss,Johnys,1990/05/18,Male,ZZNPNJ,2021/09/03
46,Daloris,Cornels,2000/05/28,Female,YQGMYO,2019/11/02
98,Marja,Brimming,1981/03/09,Female,SUDXLJ,2021/06/17
29,Jolene,Danbury,1967/05/16,Female,BBKUOF,2021/10/15
66,Jermayne,McGahern,2000/05/30,Male,ERXHXW,2017/09/12
11,Francklyn,Vurley,1972/09/13,Male,RZKWEZ,2018/01/11
8,Bonnibelle,Vuitton,1981/02/26,Female,ZZLZVO,2020/06/01
22,Dorine,Jerdon,1986/04/05,Female,JPVZJU,2020/03/24
3,Gunter,Melloy,1991/02/22,Male,BAIWSZ,2019/07/09
79,Chris,Pedrozzi,1975/01/06,Female,URXMIY,2021/07/22
6,Shay,Gladwish,1985/06/03,Male,FXLJBS,2022/04/19
27,Eugen,Sneller,1995/01/19,Male,AUYEGV,2019/10/20
57,Lidia,Stonestreet,1978/03/08,Female,OUEGSW,2020/03/27
37,Collin,Klaffs,1979/02/09,Male,FXKXUB,2019/05/09
82,Bevan,Sacchetti,1966/05/24,Male,YDDNMY,2020/06/30
88,Currey,Benettini,1990/03/28,Male,YSNQLY,2018/05/10
43,Burgess,Yuryaev,1997/06/18,Male,JPXNYK,2018/04/22
8,Nichol,Bartoleyn,1971/10/27,Female,FQRRLP,2018/01/08
12,Gunner,Beckers,1974/05/08,Male,LTMCJM,2018/04/16
14,Hamish,Wittke,1994/03/30,Male,KTSFVZ,2022/01/08
50,Avictor,Curado,1967/04/10,Male,ITLTLA,2020/07/02
78,Ranna,Littlechild,2000/02/11,Female,LIYXHO,2018/10/08
81,Simon,Burnie,1969/01/22,Male,JGNRAX,2020/02/14
4,Roseann,Ailward,1980/10/16,Female,STKETM,2018/05/09
56,Bertram,Buckthorpe,1978/01/17,Male,PPHVMX,2018/08/18
6,Reid,Thewless,2000/06/09,Male,UXGHWU,2017/06/29
